province,municipality,cropname,rsba_crop_record_count,rsba_crop_area_ha
ISABELA,RAMON,Ampalaya,1,0.56
ISABELA,RAMON,Banana,4,6.98
ISABELA,RAMON,Buffaloes (Carabaos),25,0
ISABELA,RAMON,Cacao,1,0.88
ISABELA,RAMON,Cantaloupes- honey dew and other melon varieties,1,1.1
ISABELA,RAMON,Cassava (kamoteng kahoy),1,1.8
ISABELA,RAMON,Cattle,65,0
ISABELA,RAMON,Chickens,103,0
ISABELA,RAMON,Coconut,1,0.1
ISABELA,RAMON,Corn,136,229.14
ISABELA,RAMON,Dogs and cats,2,0
ISABELA,RAMON,Ducks,75,0
ISABELA,RAMON,Geese,3,0
ISABELA,RAMON,Goats,23,0
ISABELA,RAMON,Hito/Catfish,4,0.96
ISABELA,RAMON,Mahogany,1,0.03
ISABELA,RAMON,Mango,5,7.8
ISABELA,RAMON,Other animals (e.g.,2,0
ISABELA,RAMON,Other Fish,169,64.14
ISABELA,RAMON,Other fruit-bearing trees and vines,2,0.7
ISABELA,RAMON,Other fruit-bearing vegetables,3,1.32
ISABELA,RAMON,Other leafy vegetables,5,2.27
ISABELA,RAMON,Other leguminous plants,1,0.84
ISABELA,RAMON,Other poultry,1,0
ISABELA,RAMON,Other varieties of tobacco,1,1.2
ISABELA,RAMON,Pigs or swine,146,0
ISABELA,RAMON,Rice/Palay,4377,8504.97
ISABELA,RAMON,Sheep,3,0
ISABELA,RAMON,Tilapia,110,41.4
ISABELA,RAMON,Turkeys,4,0
ISABELA,RAMON,Water melon,1,2
ISABELA,REINA MERCEDES,Ampalaya,19,6.9
ISABELA,REINA MERCEDES,Banana,1,1
ISABELA,REINA MERCEDES,Beans - dry,1,0.1
ISABELA,REINA MERCEDES,Broccoli,1,0.5
ISABELA,REINA MERCEDES,Buffaloes (Carabaos),72,0
ISABELA,REINA MERCEDES,Cassava (kamoteng kahoy),2,1.3
ISABELA,REINA MERCEDES,Cattle,187,0
ISABELA,REINA MERCEDES,Chickens,434,0
ISABELA,REINA MERCEDES,Coconut,1,2
ISABELA,REINA MERCEDES,Corn,1516,1684.54
ISABELA,REINA MERCEDES,Cowpea,2,0
ISABELA,REINA MERCEDES,Dogs and cats,1,0
ISABELA,REINA MERCEDES,Ducks,239,0
ISABELA,REINA MERCEDES,Eggplant (talong),1,0
ISABELA,REINA MERCEDES,Geese,10,0
ISABELA,REINA MERCEDES,Goats,14,0
ISABELA,REINA MERCEDES,Kalamansi,1,1.4
ISABELA,REINA MERCEDES,Lime (Calamansi),1,0.5
ISABELA,REINA MERCEDES,Other crops for fiber production,23,8.85
ISABELA,REINA MERCEDES,Other Fish,1,0.06
ISABELA,REINA MERCEDES,Other fruit-bearing vegetables,76,31.86
ISABELA,REINA MERCEDES,Other leafy vegetables,14,4.49
ISABELA,REINA MERCEDES,Other leguminous plants,14,5.75
ISABELA,REINA MERCEDES,Other varieties of tobacco,113,97.85
ISABELA,REINA MERCEDES,Peanuts,5,2.3
ISABELA,REINA MERCEDES,Pigeons,2,0
ISABELA,REINA MERCEDES,Pigs or swine,184,0
ISABELA,REINA MERCEDES,Rice/Palay,1229,1345.42
ISABELA,REINA MERCEDES,Sheep,1,0
ISABELA,REINA MERCEDES,Squash (kalabasa),1,0.1
ISABELA,REINA MERCEDES,String beans - harvested green (sitao),2,0.6
ISABELA,REINA MERCEDES,Sugarcane,1,6
ISABELA,REINA MERCEDES,Tobacco (native),15,8.2
ISABELA,REINA MERCEDES,Tobacco (Virginia),1,1.25
ISABELA,REINA MERCEDES,Turkeys,3,0
ISABELA,ROXAS,Avocado,1,0.19
ISABELA,ROXAS,Banana,4,5.24
ISABELA,ROXAS,Buffaloes (Carabaos),43,0
ISABELA,ROXAS,Cattle,23,0
ISABELA,ROXAS,Chickens,30,0
ISABELA,ROXAS,Coconut,5,8.04
ISABELA,ROXAS,Corn,1410,1762.08
ISABELA,ROXAS,Dogs and cats,1,0
ISABELA,ROXAS,Ducks,37,0
ISABELA,ROXAS,Eggplant (talong),1,0.19
ISABELA,ROXAS,Geese,1,0
ISABELA,ROXAS,Goats,9,0
ISABELA,ROXAS,Hito/Catfish,2,0.26
ISABELA,ROXAS,Lemon,1,0.1
ISABELA,ROXAS,Lime (Calamansi),2,0.9
ISABELA,ROXAS,Mango,10,20.1
ISABELA,ROXAS,Mushroom,1,0.02
ISABELA,ROXAS,Other Fish,9,4.34
ISABELA,ROXAS,Other fruit-bearing trees and vines,9,3.81
ISABELA,ROXAS,Other fruit-bearing vegetables,71,42.06
ISABELA,ROXAS,Other leafy vegetables,24,8.01
ISABELA,ROXAS,Other leguminous plants,1,0.81
ISABELA,ROXAS,Other varieties of tobacco,1,0.98
ISABELA,ROXAS,Peanuts,1,0.2
ISABELA,ROXAS,Pigs or swine,25,0
ISABELA,ROXAS,Quail,1,0
ISABELA,ROXAS,Rabbits and hares,1,0
ISABELA,ROXAS,Rambutan,1,0.5
ISABELA,ROXAS,Rice/Palay,3941,7291.42
ISABELA,ROXAS,Sheep,1,0
ISABELA,ROXAS,Squash (kalabasa),1,0.3
ISABELA,ROXAS,Tamarind (sampaloc),1,0.1
ISABELA,ROXAS,Tilapia,9,3.86
ISABELA,ROXAS,Tobacco (native),4,2.31
ISABELA,ROXAS,Turkeys,2,0
ISABELA,SAN AGUSTIN,Ampalaya,1,0.5
ISABELA,SAN AGUSTIN,Avocado,1,7.5
ISABELA,SAN AGUSTIN,Banana,306,340.73
ISABELA,SAN AGUSTIN,Black Turtle Beans,1,1
ISABELA,SAN AGUSTIN,Buffaloes (Carabaos),1380,0
ISABELA,SAN AGUSTIN,Cacao,6,3.75
ISABELA,SAN AGUSTIN,Camote,6,4.35
ISABELA,SAN AGUSTIN,Cassava (kamoteng kahoy),636,636.92
ISABELA,SAN AGUSTIN,Cattle,467,0
ISABELA,SAN AGUSTIN,Chickens,1499,0
ISABELA,SAN AGUSTIN,Coconut,7,4.1
ISABELA,SAN AGUSTIN,Coffee - other varieties,1,0.25
ISABELA,SAN AGUSTIN,Corn,3239,5587.21
ISABELA,SAN AGUSTIN,Cowpea,1,0
ISABELA,SAN AGUSTIN,Dogs and cats,3,0
ISABELA,SAN AGUSTIN,Ducks,649,0
ISABELA,SAN AGUSTIN,Eggplant (talong),4,0.69
ISABELA,SAN AGUSTIN,"Forage grass (sacate, alfalfa, green corn stalk)",3,1.7
ISABELA,SAN AGUSTIN,Geese,24,0
ISABELA,SAN AGUSTIN,Ginger (luya),1,0.13
ISABELA,SAN AGUSTIN,Goats,127,0
ISABELA,SAN AGUSTIN,Green corn,1,1
ISABELA,SAN AGUSTIN,Guyabano,1,5
ISABELA,SAN AGUSTIN,Hito/Catfish,3,0.03
ISABELA,SAN AGUSTIN,Horses,5,0
ISABELA,SAN AGUSTIN,Lime (Calamansi),1,0
ISABELA,SAN AGUSTIN,Mango,8,16.8
ISABELA,SAN AGUSTIN,Other animals (e.g.,35,0
ISABELA,SAN AGUSTIN,Other Fish,10,1.6
ISABELA,SAN AGUSTIN,Other fruit-bearing trees and vines,2,0.5
ISABELA,SAN AGUSTIN,Other fruit-bearing vegetables,29,5.57
ISABELA,SAN AGUSTIN,Other leafy vegetables,10,3.88
ISABELA,SAN AGUSTIN,Other leguminous plants,1,2
ISABELA,SAN AGUSTIN,Other tubers - roots and bulbs,1,1
ISABELA,SAN AGUSTIN,Peanuts,10,3.94
ISABELA,SAN AGUSTIN,Pigeons,1,0
ISABELA,SAN AGUSTIN,Pigs or swine,476,0
ISABELA,SAN AGUSTIN,Rabbits and hares,1,0
ISABELA,SAN AGUSTIN,Rambutan,2,7.75
ISABELA,SAN AGUSTIN,Rice/Palay,2619,2532.6
ISABELA,SAN AGUSTIN,Sheep,1,0
ISABELA,SAN AGUSTIN,String beans - harvested green (sitao),4,0.9
ISABELA,SAN AGUSTIN,Sugarcane,1,1
ISABELA,SAN AGUSTIN,Tilapia,25,7.37
ISABELA,SAN AGUSTIN,Tobacco (native),2,1
ISABELA,SAN AGUSTIN,Turkeys,20,0
ISABELA,SAN AGUSTIN,Water melon,3,1.38
ISABELA,SAN GUILLERMO,Arrowroot,1,0.2
ISABELA,SAN GUILLERMO,Atis,1,0.5
ISABELA,SAN GUILLERMO,Banana,2269,1671.42
ISABELA,SAN GUILLERMO,Beans - dry,1,0.5
ISABELA,SAN GUILLERMO,Buffaloes (Carabaos),876,0
ISABELA,SAN GUILLERMO,Cacao,11,6.2
ISABELA,SAN GUILLERMO,Cassava (kamoteng kahoy),603,474.96
ISABELA,SAN GUILLERMO,Cattle,19,0
ISABELA,SAN GUILLERMO,Chickens,761,0
ISABELA,SAN GUILLERMO,Coconut,11,4.38
ISABELA,SAN GUILLERMO,Coffee - other varieties,2,1.75
ISABELA,SAN GUILLERMO,Corn,4126,6582.03
ISABELA,SAN GUILLERMO,Dogs and cats,73,0
ISABELA,SAN GUILLERMO,Dragon Fruit,1,0.5
ISABELA,SAN GUILLERMO,Ducks,334,0
ISABELA,SAN GUILLERMO,Durian,2,0.12
ISABELA,SAN GUILLERMO,Gabi tubers,1,0.8
ISABELA,SAN GUILLERMO,Geese,7,0
ISABELA,SAN GUILLERMO,Ginger (luya),6,2.35
ISABELA,SAN GUILLERMO,Gmelina Arborea,4,3
ISABELA,SAN GUILLERMO,Goats,41,0
ISABELA,SAN GUILLERMO,Guyabano,6,4.5
ISABELA,SAN GUILLERMO,Hito/Catfish,3,0.94
ISABELA,SAN GUILLERMO,Horses,3,0
ISABELA,SAN GUILLERMO,Kalamansi,2,2.3
ISABELA,SAN GUILLERMO,Lanzones,2,0.14
ISABELA,SAN GUILLERMO,Lime (Calamansi),1,3
ISABELA,SAN GUILLERMO,Lumbang,1,0.1
ISABELA,SAN GUILLERMO,Malunggay,1,0.25
ISABELA,SAN GUILLERMO,Mango,8,2.5
ISABELA,SAN GUILLERMO,Mongo (Mung Bean),1,0.25
ISABELA,SAN GUILLERMO,Orange (dalandan),1,1.2
ISABELA,SAN GUILLERMO,Other animals (e.g.,1,0
ISABELA,SAN GUILLERMO,Other Fish,12,1.35
ISABELA,SAN GUILLERMO,Other fruit-bearing trees and vines,20,24.9
ISABELA,SAN GUILLERMO,Other fruit-bearing vegetables,32,7.35
ISABELA,SAN GUILLERMO,Other industrial crops,1,1
ISABELA,SAN GUILLERMO,Other leafy vegetables,41,7.81
ISABELA,SAN GUILLERMO,Other tubers - roots and bulbs,2,0.75
ISABELA,SAN GUILLERMO,Pigeons,3,0
ISABELA,SAN GUILLERMO,Pigs or swine,409,0
ISABELA,SAN GUILLERMO,Pineapple,457,280.1
ISABELA,SAN GUILLERMO,Pomelo (suha),1,2
ISABELA,SAN GUILLERMO,Potato (patatas),2,0.8
ISABELA,SAN GUILLERMO,Rambutan,10,5
ISABELA,SAN GUILLERMO,Rice/Palay,3092,1936.41
ISABELA,SAN GUILLERMO,Sheep,9,0
ISABELA,SAN GUILLERMO,Squash (kalabasa),2,1
ISABELA,SAN GUILLERMO,Sugarcane,7,11.05
ISABELA,SAN GUILLERMO,Sweet peas - harvested green (sitsaro),1,3
ISABELA,SAN GUILLERMO,Taro,2,0.5
ISABELA,SAN GUILLERMO,Tiger Grass,3,1.15
ISABELA,SAN GUILLERMO,Tilapia,8,1.53
ISABELA,SAN GUILLERMO,Turkeys,11,0
ISABELA,SAN ISIDRO,Buffaloes (Carabaos),21,0
ISABELA,SAN ISIDRO,Cattle,47,0
ISABELA,SAN ISIDRO,Chickens,70,0
ISABELA,SAN ISIDRO,Corn,85,110.06
ISABELA,SAN ISIDRO,Ducks,55,0
ISABELA,SAN ISIDRO,Geese,2,0
ISABELA,SAN ISIDRO,Goats,21,0
ISABELA,SAN ISIDRO,Mango,1,4.7
ISABELA,SAN ISIDRO,Other animals (e.g.,1,0
ISABELA,SAN ISIDRO,Other Fish,26,6.09
ISABELA,SAN ISIDRO,Other fruit-bearing trees and vines,1,0.37
ISABELA,SAN ISIDRO,Other fruit-bearing vegetables,10,2.96
ISABELA,SAN ISIDRO,Other leafy vegetables,20,5.81
ISABELA,SAN ISIDRO,Papaya,1,1.5
ISABELA,SAN ISIDRO,Pigs or swine,39,0
ISABELA,SAN ISIDRO,Rice/Palay,2874,4577.8
ISABELA,SAN ISIDRO,Sheep,1,0
ISABELA,SAN ISIDRO,Squash (kalabasa),1,1.5
ISABELA,SAN ISIDRO,Sugarcane,2,5.23
ISABELA,SAN ISIDRO,Tilapia,14,2.31
ISABELA,SAN ISIDRO,Turkeys,1,0
ISABELA,SAN ISIDRO,Water melon,1,0.83
ISABELA,SAN MANUEL,Ampalaya,1,0.7
ISABELA,SAN MANUEL,Banana,5,1.27
ISABELA,SAN MANUEL,Beans - dry,1,0.24
ISABELA,SAN MANUEL,Buffaloes (Carabaos),73,0
ISABELA,SAN MANUEL,Cassava (kamoteng kahoy),1,0.25
ISABELA,SAN MANUEL,Cattle,58,0
ISABELA,SAN MANUEL,Chickens,265,0
ISABELA,SAN MANUEL,Corn,195,344.95
ISABELA,SAN MANUEL,Dogs and cats,1,0
ISABELA,SAN MANUEL,Ducks,194,0
ISABELA,SAN MANUEL,Eggplant (talong),1,0.5
ISABELA,SAN MANUEL,Geese,14,0
ISABELA,SAN MANUEL,Goats,33,0
ISABELA,SAN MANUEL,Kalamansi,1,1
ISABELA,SAN MANUEL,Lime (Calamansi),4,3.8
ISABELA,SAN MANUEL,Mango,1,0.02
ISABELA,SAN MANUEL,Okra,1,0.5
ISABELA,SAN MANUEL,Other fruit-bearing trees and vines,1,0.6
ISABELA,SAN MANUEL,Other fruit-bearing vegetables,1,0.19
ISABELA,SAN MANUEL,Other leafy vegetables,4,1.14
ISABELA,SAN MANUEL,Pigs or swine,181,0
ISABELA,SAN MANUEL,Rabbits and hares,1,0
ISABELA,SAN MANUEL,Rice/Palay,2690,5737.1
ISABELA,SAN MANUEL,Sheep,1,0
ISABELA,SAN MANUEL,String beans - harvested green (sitao),1,0
ISABELA,SAN MANUEL,Sugarcane,2,8.4
ISABELA,SAN MANUEL,Tilapia,3,0.33
ISABELA,SAN MANUEL,Tobacco (native),1,0.5
ISABELA,SAN MANUEL,Turkeys,13,0
ISABELA,SAN MARIANO,Acacia,1,1
ISABELA,SAN MARIANO,Ampalaya,1,0.5
ISABELA,SAN MARIANO,Banana,2545,2348.71
ISABELA,SAN MARIANO,Beans - dry,4,1.13
ISABELA,SAN MARIANO,Broccoli,1,0.5
ISABELA,SAN MARIANO,Buffaloes (Carabaos),1110,0
ISABELA,SAN MARIANO,Camote,1,1
ISABELA,SAN MARIANO,Cassava (kamoteng kahoy),2236,2197.02
ISABELA,SAN MARIANO,Castorbeans (tangantangan),1,0.5
ISABELA,SAN MARIANO,Cattle,53,0
ISABELA,SAN MARIANO,Chickens,998,0
ISABELA,SAN MARIANO,Coconut,10,9.07
ISABELA,SAN MARIANO,Coffee - other varieties,2,1.3
ISABELA,SAN MARIANO,Common beans (habitchuelas),1,0.25
ISABELA,SAN MARIANO,Corn,9236,16042.79
ISABELA,SAN MARIANO,Dogs and cats,66,0
ISABELA,SAN MARIANO,Dragon Fruit,1,0.25
ISABELA,SAN MARIANO,Ducks,316,0
ISABELA,SAN MARIANO,"Forage grass (sacate, alfalfa, green corn stalk)",4,2.75
ISABELA,SAN MARIANO,Geese,9,0
ISABELA,SAN MARIANO,Gemilina,2,1
ISABELA,SAN MARIANO,Ginger (luya),8,3.85
ISABELA,SAN MARIANO,Gmelina Arborea,6,4.25
ISABELA,SAN MARIANO,Goats,37,0
ISABELA,SAN MARIANO,Green corn,1,0.08
ISABELA,SAN MARIANO,Guyabano,1,1.5
ISABELA,SAN MARIANO,Hito/Catfish,4,1.15
ISABELA,SAN MARIANO,Horses,5,0
ISABELA,SAN MARIANO,Lime (Calamansi),2,0.63
ISABELA,SAN MARIANO,Mahogany,2,0.75
ISABELA,SAN MARIANO,Mandarin (dalanghita),1,0.5
ISABELA,SAN MARIANO,Mango,7,10.86
ISABELA,SAN MARIANO,Mongo (Mung Bean),4,1.5
ISABELA,SAN MARIANO,Narra,1,3
ISABELA,SAN MARIANO,Orange (dalandan),1,1
ISABELA,SAN MARIANO,Other animals (e.g.,1,0
ISABELA,SAN MARIANO,Other crops for fiber production,1,3
ISABELA,SAN MARIANO,Other Fish,29,7.6
ISABELA,SAN MARIANO,Other fruit-bearing trees and vines,12,11.64
ISABELA,SAN MARIANO,Other fruit-bearing vegetables,38,24.49
ISABELA,SAN MARIANO,Other industrial crops,2,2.02
ISABELA,SAN MARIANO,Other industrial permanent crops not elsewhere classified,1,0.5
ISABELA,SAN MARIANO,Other leafy vegetables,22,5.55
ISABELA,SAN MARIANO,Other varieties of tobacco,6,3.6
ISABELA,SAN MARIANO,Palm tree,1,1
ISABELA,SAN MARIANO,Peacock,1,0
ISABELA,SAN MARIANO,Peanuts,1,0.25
ISABELA,SAN MARIANO,Pigeons,1,0
ISABELA,SAN MARIANO,Pigs or swine,376,0
ISABELA,SAN MARIANO,Pineapple,6,3.25
ISABELA,SAN MARIANO,Potato (patatas),2,0.4
ISABELA,SAN MARIANO,Quail,1,0
ISABELA,SAN MARIANO,Rabbits and hares,1,0
ISABELA,SAN MARIANO,Rambutan,1,0.25
ISABELA,SAN MARIANO,Rice/Palay,4784,3133.45
ISABELA,SAN MARIANO,String beans - harvested green (sitao),1,0.25
ISABELA,SAN MARIANO,Sugarcane,174,660.65
ISABELA,SAN MARIANO,Taro,1,0.5
ISABELA,SAN MARIANO,Tilapia,56,13.75
ISABELA,SAN MARIANO,Tobacco (native),25,14.11
ISABELA,SAN MARIANO,Tobacco (Virginia),1,1
ISABELA,SAN MARIANO,Turkeys,14,0
ISABELA,SAN MARIANO,Ube,1,0.5
ISABELA,SAN MARIANO,Water melon,60,78.55
ISABELA,SAN MATEO,Ampalaya,1,0.05
ISABELA,SAN MATEO,Arrowroot,1,0.75
ISABELA,SAN MATEO,Banana,3,1.7
ISABELA,SAN MATEO,Beans - dry,1,0.02
ISABELA,SAN MATEO,Buffaloes (Carabaos),46,0
ISABELA,SAN MATEO,Cattle,175,0
ISABELA,SAN MATEO,Chickens,835,0
ISABELA,SAN MATEO,Coconut,3,40
ISABELA,SAN MATEO,Corn,219,309.16
ISABELA,SAN MATEO,Cowpea,1,0
ISABELA,SAN MATEO,Dogs and cats,6,0
ISABELA,SAN MATEO,Ducks,547,0
ISABELA,SAN MATEO,Eggplant (talong),1,0.8
ISABELA,SAN MATEO,Geese,22,0
ISABELA,SAN MATEO,Goats,98,0
ISABELA,SAN MATEO,Hito/Catfish,8,1.35
ISABELA,SAN MATEO,Kalamansi,1,20
ISABELA,SAN MATEO,Lettuce,1,0.06
ISABELA,SAN MATEO,Mango,5,59.1
ISABELA,SAN MATEO,Mongo (Mung Bean),12,11.55
ISABELA,SAN MATEO,Orchard,1,0.1
ISABELA,SAN MATEO,Other animals (e.g.,1,0
ISABELA,SAN MATEO,Other Fish,103,26.89
ISABELA,SAN MATEO,Other fruit-bearing trees and vines,1,0.2
ISABELA,SAN MATEO,Other fruit-bearing vegetables,36,14.94
ISABELA,SAN MATEO,Other leafy vegetables,15,3.05
ISABELA,SAN MATEO,Other leguminous plants,2,0.41
ISABELA,SAN MATEO,Other varieties of tobacco,2,3.29
ISABELA,SAN MATEO,Palm tree,1,0.5
ISABELA,SAN MATEO,Peanuts,3,2.07
ISABELA,SAN MATEO,Pechay,1,0.1
ISABELA,SAN MATEO,Pigs or swine,457,0
ISABELA,SAN MATEO,Rabbits and hares,2,0
ISABELA,SAN MATEO,Rice/Palay,5000,8927.18
ISABELA,SAN MATEO,Sheep,6,0
ISABELA,SAN MATEO,Squash (kalabasa),2,0.04
ISABELA,SAN MATEO,String beans - harvested green (sitao),7,0.36
ISABELA,SAN MATEO,Sugarcane,1,2
ISABELA,SAN MATEO,Tilapia,46,7.88
ISABELA,SAN MATEO,Tobacco (native),4,2.3
ISABELA,SAN MATEO,Tobacco (Virginia),1,0.9
ISABELA,SAN MATEO,Turkeys,16,0
ISABELA,SAN PABLO,Ampalaya,5,1.95
ISABELA,SAN PABLO,Buffaloes (Carabaos),466,0
ISABELA,SAN PABLO,Cattle,284,0
ISABELA,SAN PABLO,Chickens,90,0
ISABELA,SAN PABLO,Corn,3729,5137.63
ISABELA,SAN PABLO,Ducks,7,0
ISABELA,SAN PABLO,Eggplant (talong),2,0.5
ISABELA,SAN PABLO,Goats,4,0
ISABELA,SAN PABLO,Herbal/medicinal plants (banaba),1,0
ISABELA,SAN PABLO,Horses,1,0
ISABELA,SAN PABLO,Mango,2,8
ISABELA,SAN PABLO,Mongo (Mung Bean),5,2.45
ISABELA,SAN PABLO,Other fruit-bearing vegetables,8,8.55
ISABELA,SAN PABLO,Other leguminous plants,4,1
ISABELA,SAN PABLO,Other poultry,2,0
ISABELA,SAN PABLO,Pigeon pea,1,0
ISABELA,SAN PABLO,Pigs or swine,127,0
ISABELA,SAN PABLO,Rice/Palay,1655,1478.91
ISABELA,SAN PABLO,Squash (kalabasa),7,3.45
ISABELA,SAN PABLO,Tobacco (native),2,1
ISABELA,SAN PABLO,Tomato (kamatis),1,0.25
ISABELA,SAN PABLO,Water melon,2,1.8
ISABELA,SANTA MARIA,Ampalaya,1,0.5
ISABELA,SANTA MARIA,Buffaloes (Carabaos),68,0
ISABELA,SANTA MARIA,Camote,2,0.9
ISABELA,SANTA MARIA,Cassava (kamoteng kahoy),1,2.5
ISABELA,SANTA MARIA,Cattle,276,0
ISABELA,SANTA MARIA,Chickens,374,0
ISABELA,SANTA MARIA,Corn,1531,1986.86
ISABELA,SANTA MARIA,Dogs and cats,122,0
ISABELA,SANTA MARIA,Ducks,218,0
ISABELA,SANTA MARIA,Geese,5,0
ISABELA,SANTA MARIA,Goats,31,0
ISABELA,SANTA MARIA,Horses,8,0
ISABELA,SANTA MARIA,Other Fish,11,4.59
ISABELA,SANTA MARIA,Other fruit-bearing vegetables,14,4.47
ISABELA,SANTA MARIA,Other industrial crops,2,1.08
ISABELA,SANTA MARIA,Other leafy vegetables,12,3.08
ISABELA,SANTA MARIA,Other poultry,1,0
ISABELA,SANTA MARIA,Peanuts,4,1.97
ISABELA,SANTA MARIA,Pigs or swine,144,0
ISABELA,SANTA MARIA,Potato (patatas),5,5.55
ISABELA,SANTA MARIA,Quail,1,0
ISABELA,SANTA MARIA,Rice/Palay,1459,1977.94
ISABELA,SANTA MARIA,Sheep,2,0
ISABELA,SANTA MARIA,Sugarcane,36,249.92
ISABELA,SANTA MARIA,Tilapia,25,4.46
ISABELA,SANTA MARIA,Tobacco (native),1,0.58
ISABELA,SANTA MARIA,Turkeys,13,0
ISABELA,SANTA MARIA,Water melon,2,0.5
ISABELA,SANTO TOMAS,Ampalaya,1,1
ISABELA,SANTO TOMAS,Buffaloes (Carabaos),61,0
ISABELA,SANTO TOMAS,Cattle,264,0
ISABELA,SANTO TOMAS,Chickens,412,1
ISABELA,SANTO TOMAS,Corn,2590,3079.83
ISABELA,SANTO TOMAS,Dogs and cats,4,0
ISABELA,SANTO TOMAS,Ducks,52,0
ISABELA,SANTO TOMAS,Geese,1,0
ISABELA,SANTO TOMAS,Goats,6,0
ISABELA,SANTO TOMAS,Hito/Catfish,1,0.12
ISABELA,SANTO TOMAS,Other Fish,26,5.06
ISABELA,SANTO TOMAS,Other fruit-bearing trees and vines,3,0.42
ISABELA,SANTO TOMAS,Other fruit-bearing vegetables,84,12.49
ISABELA,SANTO TOMAS,Other leafy vegetables,47,7.41
ISABELA,SANTO TOMAS,Other leguminous plants,3,0.3
ISABELA,SANTO TOMAS,Other poultry,1,0
ISABELA,SANTO TOMAS,Other varieties of tobacco,5,6
ISABELA,SANTO TOMAS,Peanuts,8,3.45
ISABELA,SANTO TOMAS,Pigs or swine,168,0
ISABELA,SANTO TOMAS,Rice/Palay,2434,3632.24
ISABELA,SANTO TOMAS,Tilapia,13,2.12
ISABELA,SANTO TOMAS,Tobacco (native),5,3.75
ISABELA,SANTO TOMAS,Tobacco (Virginia),1,0.8
ISABELA,SANTO TOMAS,Turkeys,2,0
ISABELA,TUMAUINI,Banana,12,6.85
ISABELA,TUMAUINI,Buffaloes (Carabaos),89,0
ISABELA,TUMAUINI,Cantaloupes- honey dew and other melon varieties,1,0.4
ISABELA,TUMAUINI,Cassava (kamoteng kahoy),7,6.3
ISABELA,TUMAUINI,Cattle,388,0
ISABELA,TUMAUINI,Chickens,79,0
ISABELA,TUMAUINI,Coconut,1,0.25
ISABELA,TUMAUINI,Corn,5125,7902.77
ISABELA,TUMAUINI,crops for seed and seedling,1,0.25
ISABELA,TUMAUINI,Dragon Fruit,41,3.99
ISABELA,TUMAUINI,Ducks,32,0
ISABELA,TUMAUINI,Eggplant (talong),2,0.05
ISABELA,TUMAUINI,Geese,5,0
ISABELA,TUMAUINI,Goats,24,0
ISABELA,TUMAUINI,Hito/Catfish,1,2
ISABELA,TUMAUINI,Mango,9,9.59
ISABELA,TUMAUINI,Mongo (Mung Bean),1,1.5
ISABELA,TUMAUINI,Ornamental Flowers,7,1.52
ISABELA,TUMAUINI,Other animals (e.g.,1,0
ISABELA,TUMAUINI,Other Fish,3,3
ISABELA,TUMAUINI,Other fruit-bearing trees and vines,3,1.35
ISABELA,TUMAUINI,Other fruit-bearing vegetables,42,14.3
ISABELA,TUMAUINI,Other leafy vegetables,100,33.96
ISABELA,TUMAUINI,Other leguminous plants,4,0.83
ISABELA,TUMAUINI,Other poultry,2,0
ISABELA,TUMAUINI,Other varieties of tobacco,1,0.25
ISABELA,TUMAUINI,Pigs or swine,361,0
ISABELA,TUMAUINI,Rice/Palay,4582,6144.54
ISABELA,TUMAUINI,Sugarcane,3,7.9
ISABELA,TUMAUINI,Tilapia,7,2.08
ISABELA,TUMAUINI,Tobacco (native),43,36.02
ISABELA,TUMAUINI,Turkeys,2,0
ISABELA,TUMAUINI,Water melon,1,1
NUEVA VIZCAYA,ALFONSO CASTANEDA,Avocado,1,0.05
NUEVA VIZCAYA,ALFONSO CASTANEDA,Bamboo (Kawayan),1,0.15
NUEVA VIZCAYA,ALFONSO CASTANEDA,Banana,13,6.6
NUEVA VIZCAYA,ALFONSO CASTANEDA,Basil,1,0.5
NUEVA VIZCAYA,ALFONSO CASTANEDA,Beans - dry,84,32.83
NUEVA VIZCAYA,ALFONSO CASTANEDA,Bellpepper (Green/Red),16,6.55
NUEVA VIZCAYA,ALFONSO CASTANEDA,Black pepper,2,0.63
NUEVA VIZCAYA,ALFONSO CASTANEDA,Buffaloes (Carabaos),21,0
NUEVA VIZCAYA,ALFONSO CASTANEDA,Bush Sitao,1,0.05
NUEVA VIZCAYA,ALFONSO CASTANEDA,Cacao,2,1
NUEVA VIZCAYA,ALFONSO CASTANEDA,Camote,9,2.76
NUEVA VIZCAYA,ALFONSO CASTANEDA,Camote tops (talbos ng kamote),5,1.95
NUEVA VIZCAYA,ALFONSO CASTANEDA,Cassava (kamoteng kahoy),8,4.7
NUEVA VIZCAYA,ALFONSO CASTANEDA,Cattle,7,0
NUEVA VIZCAYA,ALFONSO CASTANEDA,Cauliflower,1,0.5
NUEVA VIZCAYA,ALFONSO CASTANEDA,Chickens,53,0
NUEVA VIZCAYA,ALFONSO CASTANEDA,Chili (labuyo),47,16.02
NUEVA VIZCAYA,ALFONSO CASTANEDA,Coconut,11,10.86
NUEVA VIZCAYA,ALFONSO CASTANEDA,Coffee - other varieties,2,0.38
NUEVA VIZCAYA,ALFONSO CASTANEDA,Common beans (habitchuelas),11,4.13
NUEVA VIZCAYA,ALFONSO CASTANEDA,Corn,438,406.88
NUEVA VIZCAYA,ALFONSO CASTANEDA,Cucumber (pipino),18,5.78
NUEVA VIZCAYA,ALFONSO CASTANEDA,Dragon Fruit,54,34.14
